"Project","MethodIndex","Method","Count","Tests"
"gson","1","com.google.gson.internal.bind.TypeAdapters.newFactory(Class<TT>,TypeAdapter<TT>)","9","com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest.testJsonAdapterInvokedOnlyForAnnotatedFields [gson],com.google.gson.MixedStreamTest.testWriteInvalidState [gson],com.google.gson.functional.FieldNamingTest.testIdentity [gson],com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest.testClassAnnotationAdapterFactoryTakesPrecedenceOverDefault [gson],com.google.gson.functional.JsonParserTest.testExtraCommasInMaps [gson],com.google.gson.functional.FieldNamingTest.testLowerCaseWithUnderscores [gson],com.google.gson.functional.JsonParserTest.testBadFieldTypeForDeserializingCustomTree [gson],com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest.testClassAnnotationAdapterTakesPrecedenceOverDefault [gson],com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest.testJsonAdapterWrappedInNullSafeAsRequested [gson]"
"gson","2","com.google.gson.Gson.toJson(Object,Type)","8","com.google.gson.functional.ConcurrencyTest.testMultiThreadSerialization [gson]"
"gson","3","com.google.gson.internal.bind.TypeAdapters.newFactory(Class<TT>,Class<TT>,TypeAdapter<?superTT>)","5","com.google.gson.functional.JavaUtilConcurrentAtomicTest.testAtomicLongWithStringSerializationPolicy [gson],com.google.gson.functional.JavaUtilConcurrentAtomicTest.testAtomicInteger [gson],com.google.gson.functional.JsonTreeTest.testToJsonTreeObjectType [gson],com.google.gson.functional.JavaUtilConcurrentAtomicTest.testAtomicLong [gson],com.google.gson.functional.JsonTreeTest.testJsonTreeNull [gson]"
"gson","4","com.google.gson.internal.bind.TypeAdapters.newTypeHierarchyFactory(Class<T1>,TypeAdapter<T1>)","1","com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest.testFieldAnnotationTakesPrecedenceOverRegisteredTypeAdapter [gson]"
