"Project","MethodIndex","Method","Count","Tests"
"jcodec","18","org.jcodec.codecs.h264.encode.IntraPredEstimator.getLumaPred4x4(Picture,EncodingContext,int,int,int)","3","org.jcodec.codecs.h264.H264EncoderTest.testEncodeDecode [],org.jcodec.codecs.h264.encode.IntraPredEstimatorTest.testLumaPred4x4 [],org.jcodec.api.TranscoderTest.testCanFilterVideoAndCopyAudio []"
"jcodec","19","org.jcodec.codecs.h264.io.CABAC.readCoeffs(MDecoder,BlockType,int[],int,int,int[],int[],int[])","3","org.jcodec.api.FrameGrabTest.testFrameGrab []"
"jcodec","20","org.jcodec.codecs.h264.io.CAVLC.fork()","2","org.jcodec.api.TranscoderTest.testCanFilterVideoAndCopyAudio [],org.jcodec.codecs.h264.H264EncoderTest.testEncodeYuv420J []"
"jcodec","21","org.jcodec.codecs.h264.mp4.AvcCBox.parse(ByteBuffer)","2","org.jcodec.containers.mp4.demuxer.MP4DemuxerTest.testRawDemuxer [],org.jcodec.containers.mp4.demuxer.MP4DemuxerTest.testAudioTrack []"
"jcodec","22","org.jcodec.platform.Platform.newInstance(Class<T>,Object[])","2","org.jcodec.containers.mp4.AppleGpsTest.testAppleGps [],org.jcodec.codecs.h264.conformance.ConformanceTest.testMp4Container []"
"jcodec","23","org.jcodec.codecs.h264.encode.EncodingContext.fork()","2","org.jcodec.api.TranscoderTest.testCanFilterVideoAndCopyAudio []"
"jcodec","24","org.jcodec.codecs.h264.encode.CQPRateControl.initialQpDelta(Picture,int,int)","2","org.jcodec.api.TranscoderTest.testCanFilterVideoAndCopyAudio []"
"jcodec","25","org.jcodec.codecs.h264.encode.MotionEstimator.estimateQPix(Picture,byte[],int[],int,int)","2","org.jcodec.codecs.h264.H264EncoderTest.testEncodeDecode [],org.jcodec.api.TranscoderTest.testCanFilterVideoAndCopyAudio []"
"jcodec","26","org.jcodec.containers.mp4.boxes.Header.write(ByteBuffer)","2","org.jcodec.movtool.MetadataEditorTest.testKeyedWriteSlow [],org.jcodec.movtool.MetadataEditorTest.testKeyedWriteFast []"
"jcodec","27","org.jcodec.codecs.h264.encode.MBWriterI16x16.chroma(EncodingContext,Picture,int,int,MBType,BitWriter,int,Picture,int)","2","org.jcodec.codecs.h264.H264EncoderTest.testEncodeYuv420J [],org.jcodec.codecs.h264.encode.MBWriterINxNTest.testGrad []"
"jcodec","28","org.jcodec.common.io.BitWriter.fork()","1","org.jcodec.api.TranscoderTest.testCanFilterVideoAndCopyAudio []"
"jcodec","29","org.jcodec.codecs.h264.decode.deblock.DeblockingFilter.deblockFrame(Picture)","1","org.jcodec.api.FrameGrabTest.testFrameGrab []"
"jcodec","30","org.jcodec.common.io.BitReader.createBitReader(ByteBuffer)","1","org.jcodec.codecs.h264.encode.MBWriterINxNTest.testGrad []"
"jcodec","31","org.jcodec.containers.mkv.demuxer.MKVDemuxer.demux()","1","org.jcodec.containers.mkv.MKVDemuxerTest.showAll []"
"jcodec","32","org.jcodec.common.tools.MD5.getDigest()","1","org.jcodec.common.tools.MD5Test.testmd5sum []"
"jcodec","33","org.jcodec.codecs.h264.decode.CAVLCReader.readSE(BitReader,String)","1","org.jcodec.codecs.h264.encode.MBWriterI16x16Test.testGrad []"
"jcodec","34","org.jcodec.common.IntArrayList.fill(int,int,int)","1","org.jcodec.api.SequenceEncoderTest.testRuns []"
"jcodec","35","org.jcodec.containers.mp4.boxes.UdtaBox.setFactory(IBoxFactory)","1","org.jcodec.containers.mp4.SampleOffsetUtilsTest.testGetChunkBySample []"
"jcodec","36","org.jcodec.codecs.mpeg4.MPEG4Renderer.renderMBInter(MPEG4DecodingContext,Picture[],Macroblock,int,boolean)","1","org.jcodec.codecs.mpeg4.MPEG4DecoderTest.testForemanPFrame []"
"jcodec","37","org.jcodec.codecs.h264.encode.MBWriterI16x16.extractDC(int[][])","1","org.jcodec.api.TranscoderTest.testCanFilterVideoAndCopyAudio []"
"jcodec","38","org.jcodec.containers.mp4.demuxer.MP4DemuxerTrack.nextFrame()","1","org.jcodec.api.Issue136Test.testFrameGrabDoesNotThrowException []"
"jcodec","39","org.jcodec.platform.Platform.copyOfRangeB(byte[],int,int)","1","org.jcodec.codecs.h264.MacroblockIntraMixedDecodingTest.testMBlockShit []"
"jcodec","40","org.jcodec.common.io.NIOUtils.combineBuffers(Iterable<ByteBuffer>)","1","org.jcodec.api.Issue380Test.testFrameGrabCanExtractOrientation []"
"jcodec","41","org.jcodec.codecs.h264.encode.IntraPredEstimator.getLumaMode(Picture,EncodingContext,int,int)","1","org.jcodec.api.TranscoderTest.testCanFilterVideoAndCopyAudio []"
"jcodec","42","org.jcodec.containers.mp4.boxes.TimeToSampleBox.parse(ByteBuffer)","1","org.jcodec.containers.mp4.SampleOffsetUtilsTest.testGetSamplesInChunk []"
"jcodec","43","org.jcodec.movtool.RelocateMP4Editor.modifyOrRelocate(File,MP4Edit)","1","org.jcodec.movtool.MetadataEditorTest.testInplace []"
"jcodec","44","org.jcodec.codecs.h264.encode.MotionEstimator.mvEstimate(Picture,int,int)","1","org.jcodec.api.TranscoderTest.testCanFilterVideoAndCopyAudio []"
"jcodec","45","org.jcodec.common.dct.DCTRef.fdct(int[],int)","1","org.jcodec.codecs.mpeg12.SparseIDCTTest.testSparseIDCT []"
"jcodec","46","org.jcodec.codecs.h264.encode.MBWriterI16x16.writeDC(CAVLC,int,int,BitWriter,int,int,int,int[],MBType,MBType)","1","org.jcodec.api.TranscoderTest.testCanFilterVideoAndCopyAudio []"
"jcodec","47","org.jcodec.containers.mp4.boxes.ChannelBox.parse(ByteBuffer)","1","org.jcodec.containers.mp4.AppleGpsTest.testAppleGps2Meta []"
"jcodec","48","org.jcodec.codecs.h264.H264Encoder.encodeSlice(SeqParameterSet,PictureParameterSet,Picture,ByteBuffer,boolean,int,SliceType,int)","1","org.jcodec.codecs.h264.H264EncoderTest.testBufferOverflowImage []"
"jcodec","49","org.jcodec.codecs.h264.io.model.SeqParameterSet.read(ByteBuffer)","1","org.jcodec.api.Issue383Test.testFrameGrabCanExtractOrientation []"
"jcodec","50","org.jcodec.platform.Platform.copyOfInt(int[],int)","1","org.jcodec.codecs.mpeg12.SparseIDCTTest.testSparseIDCT []"
"jcodec","51","org.jcodec.containers.mp4.demuxer.MP4DemuxerTrackMeta.getColorInfo(AbstractMP4DemuxerTrack)","1","org.jcodec.api.Issue180Test.testFrameGrabDoesNotThrowException []"
"jcodec","52","org.jcodec.common.ArrayUtil.randomIntArray(int,int,int)","1","org.jcodec.common.model.PictureTest.testToAndFrom []"
"jcodec","53","org.jcodec.common.model.Packet.getData()","1","org.jcodec.api.TranscoderTest.testCanFilterVideoAndCopyAudio []"
"jcodec","54","org.jcodec.containers.mp4.muxer.MP4Muxer.doAddTrack(MP4TrackType,Codec)","1","org.jcodec.api.SequenceEncoderTest.testRuns []"
