"Project","Rank","Method","Count","Tests"
"Project","MethodIndex","Method","Count","Tests"
"spark","1","spark.embeddedserver.jetty.EmbeddedJettyFactory.create(Routes,StaticFilesConfiguration,boolean)","28","spark.MultipleServicesTest.testGetUniqueForSecondWithFirst [],spark.CookiesIntegrationTest.testRemoveCookie [],spark.MultipleServicesTest.testGetUniqueForSecondWithSecond [],spark.GenericIntegrationTest.testGetBinaryHi [],spark.RedirectTest.testRedirectPut [],spark.GenericIntegrationTest.testInheritanceExceptionMapper [],spark.RedirectTest.testRedirectPutWithSpecificCode [],spark.GenericIntegrationTest.testXForwardedFor [],spark.staticfiles.StaticFilesTest.testMimeTypes [],spark.GenericIntegrationTest.testEchoParam1 [],spark.CookiesIntegrationTest.testRemoveCookieWithPath [],spark.GzipTest.checkGzipCompression [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithFirst [],spark.GenericSecureIntegrationTest.testPost [],spark.GenericIntegrationTest.filters_should_be_accept_type_aware [],spark.BooksIntegrationTest.canListBooks [],spark.GenericIntegrationTest.paths_should_be_very_nestable [],spark.StaticFilesMemberTest.testStaticFileHeaders [],spark.GenericSecureIntegrationTest.testEchoParam2 [],spark.GenericIntegrationTest.testRuntimeExceptionForAllRoutesFinally [],spark.RedirectTest.testRedirectAnyGetWithSpecificCode [],spark.MultipleServicesTest.testGetHello [],spark.GenericIntegrationTest.testEchoParam2 [],spark.GenericSecureIntegrationTest.testGetRoot [],spark.MultipleServicesTest.testGetRedirectedHi [],spark.GenericIntegrationTest.testWebSocketConversation [],spark.embeddedserver.EmbeddedServersTest.testAddAndCreate_whenCreate_createsCustomServer [],spark.GenericIntegrationTest.testPathParamsWithPlusSign []"
"spark","2","spark.embeddedserver.jetty.SocketConnectorFactory.createHttpConnectionFactory()","6","spark.MultipleServicesTest.testGetUniqueForSecondWithFirst [],spark.GenericIntegrationTest.testUnauthorized [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithSecond [],spark.MultipleServicesTest.testGetUniqueForSecondWithSecond [],spark.GenericIntegrationTest.paths_should_be_nestable [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithFirst []"
"spark","3","spark.embeddedserver.jetty.SocketConnectorFactory.createSocketConnector(Server,String,int)","6","spark.staticfiles.StaticFilesTest.testStaticFilePagesIndexHtml [],spark.RedirectTest.testRedirectAnyPostWithSpecificCode [],spark.RedirectTest.testRedirectAnyPut [],spark.ResponseWrapperDelegationTest.filters_can_detect_response_status [],spark.StaticFilesMemberTest.testStaticFileCssStyleCss [],spark.GenericIntegrationTest.testNotFound []"
"spark","4","spark.embeddedserver.jetty.websocket.WebSocketServletContextHandlerFactory.create(Map<String,WebSocketHandlerWrapper>,Optional<Integer>)","4","spark.GenericIntegrationTest.testPostViaGetWithMethodOverrideHeader [],spark.GenericIntegrationTest.testParamWithEncodedSlash [],spark.GenericIntegrationTest.testGetHi [],spark.GenericIntegrationTest.routes_should_be_accept_type_aware []"
"spark","5","spark.http.matching.MatcherFilter.doFilter(ServletRequest,ServletResponse,FilterChain)","4","spark.RedirectTest.testRedirectAnyPost [],spark.servlet.ServletTest.testGetHiAfterFilter [],spark.GenericIntegrationTest.testPatch [],spark.RedirectTest.testRedirectPut []"
"spark","6","spark.embeddedserver.jetty.JettyServer.create(int,int,int)","3","spark.staticfiles.StaticFilesTest.testExceptionMapping404 [],spark.staticfiles.DisableMimeGuessingTest.testCustomMimeType [],spark.GenericIntegrationTest.testGetHi []"
"spark","7","spark.staticfiles.StaticFilesConfiguration.configureExternal(String)","2","spark.StaticFilesMemberTest.testStaticFileHeaders [],spark.staticfiles.StaticFilesTest.testExternalStaticFile []"
"spark","8","spark.embeddedserver.EmbeddedServers.initialize()","2","spark.GenericSecureIntegrationTest.testNotFound [],spark.ServicePortIntegrationTest.testGetPort_withRandomPort []"
"spark","9","spark.embeddedserver.jetty.JettyHandler.doHandle(String,Request,HttpServletRequest,HttpServletResponse)","2","spark.BooksIntegrationTest.canCreateBook [],spark.GzipTest.testStaticFileCssStyleCss []"
"spark","10","spark.resource.AbstractFileResolvingResource.getFile()","1","spark.GenericIntegrationTest.testPathParamsWithPlusSign []"
"spark","11","spark.embeddedserver.jetty.EmbeddedJettyServer.ignite(String,int,SslStores,int,int,int)","1","spark.GzipTest.testStaticFileCssStyleCss []"
"spark","12","spark.route.Routes.findTargetWithGivenAcceptType(List<RouteEntry>,String)","1","spark.GenericIntegrationTest.testSessionReset []"
"spark","13","spark.resource.ClassPathResourceHandler.getResource(String)","1","spark.GenericIntegrationTest.testGetHiAfterFilter []"
