"Project","Rank","Method","Count","Tests"
"Project","MethodIndex","Method","Count","Tests"
"spark","1","spark.embeddedserver.jetty.EmbeddedJettyFactory.create(Routes,StaticFilesConfiguration,boolean)","22","spark.MultipleServicesTest.testGetUniqueForSecondWithFirst [],spark.CookiesIntegrationTest.testRemoveCookie [],spark.GenericIntegrationTest.testEchoParamWithMaj [],spark.staticfiles.DisableMimeGuessingTest.testMimeTypes [],spark.RedirectTest.testRedirectGetWithSpecificCode [],spark.MultipleServicesTest.testGetUniqueForSecondWithSecond [],spark.BodyAvailabilityTest.testPost [],spark.GenericIntegrationTest.testRuntimeExceptionForDone [],spark.GenericIntegrationTest.testGetBinaryHi [],spark.customerrorpages.CustomErrorPagesTest.testCustomInternalFailingRoute [],spark.GenericSecureIntegrationTest.testEchoParam2 [],spark.staticfiles.StaticFilesTest.testStaticFilePageHtml [],spark.RedirectTest.testRedirectPutWithSpecificCode [],spark.GenericIntegrationTest.testPostViaGetWithMethodOverrideHeader [],spark.RedirectTest.testRedirectAnyGetWithSpecificCode [],spark.MultipleServicesTest.testGetHello [],spark.CookiesIntegrationTest.testRemoveCookieWithPath [],spark.MultipleServicesTest.testGetRedirectedHi [],spark.StaticFilesMemberTest.testStaticFilePagesIndexHtml [],spark.GenericIntegrationTest.testEchoParamWithUpperCaseInValue [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithFirst [],spark.GenericIntegrationTest.testPathParamsWithPlusSign []"
"spark","2","spark.embeddedserver.jetty.SocketConnectorFactory.createHttpConnectionFactory()","8","spark.MultipleServicesTest.testGetUniqueForSecondWithFirst [],spark.CookiesIntegrationTest.testRemoveCookie [],spark.embeddedserver.jetty.EmbeddedJettyFactoryTest.create_withNullThreadPool [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithSecond [],spark.MultipleServicesTest.testGetUniqueForSecondWithSecond [],spark.MultipleServicesTest.testGetRedirectedHi [],spark.StaticFilesFromArchiveTest.testCss [],spark.GenericIntegrationTest.testNotFoundExceptionMapper []"
"spark","3","spark.embeddedserver.jetty.SocketConnectorFactory.createSocketConnector(Server,String,int)","8","spark.StaticFilesMemberTest.testStaticFilePageHtml [],spark.embeddedserver.EmbeddedServersTest.testAdd_whenConfigureRoutes_createsCustomServer [],spark.MultipleServicesTest.testGetUniqueForSecondWithFirst [],spark.GenericIntegrationTest.filters_should_be_accept_type_aware [],spark.GenericIntegrationTest.testEchoParam1 [],spark.RedirectTest.testRedirectGetWithSpecificCode [],spark.GenericIntegrationTest.testEchoParamWithUpperCaseInValue [],spark.GenericIntegrationTest.testPathParamsWithPlusSign []"
"spark","4","spark.embeddedserver.jetty.websocket.WebSocketServletContextHandlerFactory.create(Map<String,WebSocketHandlerWrapper>,Optional<Integer>)","5","spark.GenericIntegrationTest.testPost [],spark.GenericIntegrationTest.testExternalStaticFile [],spark.GenericIntegrationTest.testRuntimeExceptionForDone [],spark.GenericIntegrationTest.testGetRoot [],spark.GenericIntegrationTest.testStaticFile []"
"spark","5","spark.embeddedserver.jetty.JettyServer.create(int,int,int)","4","spark.staticfiles.StaticFilesTest.testDirectoryTraversalProtectionLocal [],spark.embeddedserver.jetty.JettyServerTest.testCreateServer_whenNonDefaultMaxThreadOnly_thenUseDefaultMinThreadAndTimeout [],spark.StaticFilesMemberTest.testStaticFileHeaders [],spark.staticfiles.StaticFilesTest.testExternalStaticFile []"
"spark","6","spark.http.matching.MatcherFilter.doFilter(ServletRequest,ServletResponse,FilterChain)","4","spark.RedirectTest.testRedirectAnyPostWithSpecificCode [],spark.GenericIntegrationTest.template_view_should_be_rendered_with_given_model_view_object [],spark.ResponseWrapperDelegationTest.filters_can_detect_response_status [],spark.GenericSecureIntegrationTest.testEchoParam2 []"
"spark","7","spark.embeddedserver.EmbeddedServers.initialize()","2","spark.MultipleFiltersTest.testMultipleFilters [],spark.MultipleServicesTest.testGetUniqueForSecondWithFirst []"
"spark","8","spark.embeddedserver.jetty.EmbeddedJettyServer.ignite(String,int,SslStores,int,int,int)","2","spark.GenericIntegrationTest.testHiHead [],spark.RedirectTest.testRedirectGet []"
"spark","9","spark.route.Routes.add(HttpMethod,String,String,Object)","2","spark.CookiesIntegrationTest.testRemoveCookie [],spark.GenericIntegrationTest.testNotFoundExceptionMapper []"
"spark","10","spark.serialization.InputStreamSerializer.canProcess(Object)","1","spark.StaticFilesMemberTest.testExceptionMapping404 []"
"spark","11","spark.staticfiles.StaticFilesConfiguration.configure(String)","1","spark.GenericIntegrationTest.testXForwardedFor []"
"spark","12","spark.Service.getPaths()","1","spark.staticfiles.StaticFilesTest.testExternalStaticFile []"
"spark","13","spark.servlet.SparkFilter.doFilter(ServletRequest,ServletResponse,FilterChain)","1","spark.servlet.ServletTest.testGetHi []"
"spark","14","spark.utils.MimeParse.parseMimeType(String)","1","spark.GenericIntegrationTest.testPatch []"
"spark","15","spark.Routable.afterAfter(Filter)","1","spark.GenericIntegrationTest.testEchoParam1 []"
"spark","16","spark.Routable.before(String,Filter)","1","spark.FilterTest.testJustFilter []"
"spark","17","spark.route.Routes.findTargetWithGivenAcceptType(List<RouteEntry>,String)","1","spark.GenericSecureIntegrationTest.testPost []"
"spark","18","spark.resource.ExternalResource.getDescription()","1","spark.GenericIntegrationTest.testSplatWithEncodedSlash []"
